icao,name,city,country,latitude,longitude,type
AAXX,Aeródromo de Punto Rothera,Rothera Point,AQ,-67.566941,-68.126993,small_airport
AGAF,Afutara Aerodrome,Bila,SB,-9.191389,160.948611,small_airport
AGAR,Ulawa Airport,Arona,SB,-9.86054358262,161.979546547,small_airport
AGAT,Uru Harbour Airport,Atoifi,SB,-8.87333,161.011002,small_airport
AGBA,Barakoma Airport,Barakoma,SB,-7.912779808044434,156.70599365234375,small_airport
AGBT,Batuna Aerodrome,Batuna Mission Station,SB,-8.56202777778,158.119305556,small_airport
AGEV,Geva Airport,Liangia,SB,-7.575829982757568,156.5970001220703,small_airport
AGGA,Gwaunaru'u Airport,Auki,SB,-8.70257,160.682007,small_airport
AGGB,Bellona/Anua Airport,Anua,SB,-11.302222222200001,159.798333333,small_airport
AGGC,Choiseul Bay Airport,Choiseul Bay,SB,-6.711944,156.396111,small_airport
AGGE,Ballalae Airport,Ballalae,SB,-6.990745,155.886656,small_airport
AGGF,Fera/Maringe Airport,Fera Island,SB,-8.1075,159.576996,small_airport
AGGH,Honiara International Airport,Honiara,SB,-9.428,160.054993,large_airport
AGGI,Babanakira Airport,Mbambanakira,SB,-9.7475,159.839005,small_airport
AGGJ,Avu Avu Airport,Avu Avu,SB,-9.868333,160.410556,small_airport
AGGK,Ngorangora Airport,Kirakira,SB,-10.449700355500001,161.897994995,small_airport
AGGL,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,SB,-10.7203,165.794998,small_airport
AGGM,Munda Airport,Munda,SB,-8.32797,157.263,medium_airport
AGGN,Nusatupe Airport,Gizo,SB,-8.09778022766,156.863998413,small_airport
AGGO,Mono Airport,Stirling Island,SB,-7.416940212249756,155.56500244140625,small_airport
AGGP,Parasi Airport,Parasi,SB,-9.641670227050781,161.4250030517578,small_airport
AGGR,Rennell/Tingoa Airport,Rennell Island,SB,-11.55,160.062778,small_airport
AGGS,Sege Airport,Sege,SB,-8.57889,157.876007,small_airport
AGGT,Santa Ana Airport,Santa Ana Island,SB,-10.847994,162.454108,small_airport
AGGU,Marau Airport,Marau,SB,-9.861669540409999,160.824996948,small_airport
AGGV,Suavanao Airport,Suavanao,SB,-7.58556,158.731003,small_airport
AGGY,Yandina Airport,Yandina,SB,-9.092816,159.21841,small_airport
AGKG,Kaghau Airport,Kagau Island,SB,-7.3305,157.585,small_airport
AGKU,Kukudu Airport,Kolombangara Island,SB,-8.0262,156.94783,small_airport
AGKW,Kwailabesi Airport,Kwailabesi,SB,-8.360508,160.775127,small_airport
AGLM,Lomlom Airport,Lomlom,SB,-10.296828,166.327322,small_airport
AGNA,Nana Airport,Star Harbor,SB,-10.6758,162.2049,small_airport
AGOB,Manaoba Airport,Manaoba,SB,-8.325008,160.80051,small_airport
AGOK,Gatokae Aerodrome,Gatokae,SB,-8.738358,158.202836,small_airport
AGRC,Ringi Cove Airport,Ringi Cove,SB,-8.12639045715332,157.14300537109375,small_airport
AGRM,Ramata Airport,Ramata,SB,-8.168060302734375,157.64300537109375,small_airport
ANYN,Nauru International Airport,Yaren District,NR,-0.547458,166.919006,medium_airport
AQBC,Boulder Clay Runway,Zucchelli Station,AQ,-74.739373,164.03539,medium_airport
ATUA,Utai Airstrip,Utai,PG,-3.386,141.5868,small_airport
AYAA,Ama Airport,,PG,-4.10111111111,141.67,small_airport
AYAE,Mount Aue Airport,Aue,PG,-6.229978,144.664181,small_airport
AYAF,Afore Airstrip,Afore,PG,-9.13867,148.390701,small_airport
AYAG,Agaun Airport,Agaun,PG,-9.927715,149.389951,small_airport
AYAI,Aitape Airport,Aitape,PG,-3.143611,142.346806,small_airport
