folder,icaos_in_name
beyondatc-toolbar,OLBA
DAAG,DAAG
DTNH,DTNH
EDDL,EDDL
EFHK,EFHK
EFHK-Helsinki,EFHK|SINK
EGKK,EGKK
EGKK-Gatwick,EGKK
ENBR,ENBR
ENBR-Bergen,ENBR
ENGM,ENGM
ENGM-Oslo,ENGM
EPWA,EPWA
EPWA-Ground,EPWA
flytampagg-athens,MPAG|PAGG|YTAM
fnx-aircraft-319-easyJet-EJU-Y156-Pack 1,PACK
fnx-aircraft-320-easyJet-EJU-Y186-Pack,PACK
fnx-aircraft-320-easyJet-EJU-Y186-Pack 5,PACK
fnx-aircraft-320-easyJet-EJU-Y186-Pack 6,PACK
fnx-aircraft-320-easyJet-EZS-Y186-Pack-3,PACK
fnx-aircraft-320-easyJet-EZY-Y186-Pack 7,PACK
fsdreamteam-airport-lszh-zurich,FSDR|LSZH
fsdreamteam-gsx-pro,FSDR
fsdreamteam-gsx-world-of-jetways,FSDR
FSIPANEL,SIPA
fsipanel-messages,SSAG|ESSA|SIPA
fsltl-traffic-base,SLTL
fsltl-traffic-injector,SLTL
GMME,GMME
GMME-Rabat,GMME
heclak-ui-handlebar-mod,LEBA|EBAR
jetstream-lfpo,LFPO
justsim-eddl_MSFS_24,EDDL
LEAL,LEAL
LEAL-City,LEAL
LEIB,LEIB
LEPA,LEPA
LEPA-Ground,LEPA
LFML,LFML
LFPG_fix,LFPG
LFPO,LFPO
LFPO-Jetstream-Paris Orly,LFPO
LGAV,LGAV
LGIR,LGIR
LGIR_Base,LGIR
LGMK,LGMK
LGSK,LGSK
LGSR,LGSR
LIRN-rdpresets-Naples,SETS|LIRN
LPPR,LPPR
LPPT,LPPT
LRBV,LRBV
LRBV-Brasov,LRBV
LSGG,LSGG
LTFM,LTFM
MDPC,MDPC
MDPC-Punta Cana,MDPC
mkstudios-airport-lppr-porto,LPPR
mkstudios-airport-lppt-lisbon,LPPT|SBON
mobiflight-event-module,BIFL
mycompany-aerial,YCOM
navigraph-avionics-g1000,VIGR
navigraph-avionics-g3000-g5000,VIGR
navigraph-avionics-g3x,VIGR
navigraph-efb-chartsapp,VIGR
navigraph-efb-simbriefapp,VIGR|FAPP
navigraph-ingamepanels-charts,VIGR
navigraph-nav-base,VIGR
navigraph-nav-jepp,VIGR
orbx-airport-lgsk-skiathos,LGSK
redwing_LSGG,EDWI|LSGG
scenerytr-airport-ltfm-istanbul,LTFM
simwings-airport-leib-ibiza,SIMW|LEIB
SLH_Sim_Designs_SOCA_FS24,SIGN|SOCA
SOCA,SOCA
winwing-wwtwasm,WASM
fs20-aerosoft-airport-eddb-berlin-brandenburg,EDDB
fs20-aerosoft-airport-gcla-la-palma,GCLA
fs20-aerosoft-airport-leco-a-coruna,LECO
fs20-aerosoft-airport-licr-reggio-calabria,LICR
fs20-aerosoft-paderborn,PADE
fs20-amsim-lpma-madeira,LPMA
fs20-asobo-aircraft-b787-10-livery-orbit,ORBI
fs20-asobo-aircraft-b787-10-livery-pacifica,PACI
fs20-asobo-aircraft-b787-10-livery-united,UNIT
fs20-asobo-aircraft-longitude-livery-orbit,ORBI
fs20-asobo-aircraft-longitude-livery-pacifica,PACI
fs20-asobo-aircraft-savage-shockultra-livery-aviators,SAVA
fs20-asobo-aircraft-savage-shockultra-livery-xbox-aviators,SAVA
fs20-asobo-airport-lfcs-saucats,LFCS
fs20-asobo-landingchallenge-biis-isafjordur-fs24,HALL|BIIS
fs20-asobo-landingchallenge-efva-vaasa-fs24,EFVA|HALL
fs20-asobo-landingchallenge-ekrn-bornholm-fs24,HALL|EKRN
fs20-asobo-landingchallenge-ensb-svalbard-fs24,HALL|ENSB|SVAL
fs20-asobo-landingchallenge-essa-arlanda-fs24,HALL|ESSA
fs20-asobo-simobjects-boats,SIMO
fs20-asobo-simobjects-boats-modular,ULAR|SIMO
fs20-bmw-limj-genoa,LIMJ
fs20-deimosinc-airport-limc-malpensa,LIMC
fs20-deimosinc-airport-lira-ciampino,LIRA
fs20-drzewieckidesign-epkk,EPKK|SIGN
fs20-flightbeam-airport-lfbo-toulouse,LFBO
fs20-flytampa-copenhagen,YTAM|ENHA
fs20-francevfr-airport-apt1-airportfrance-pack1,ORTF|PACK
fs20-fsx3d-lfkf-figari,LFKF
fs20-gaya-simulations-airport-lirq-florence,LATI|LIRQ|SIMU
fs20-lvfr-lemd,LEMD
fs20-microsoft-airport-kjrb-ny-downtown-manhattan-heliport,LIPO
fs20-microsoft-airport-scvh-lavictoriadechacabuco,SCVH
fs20-microsoft-airport-voloport,OPOR
fs20-microsoft-australia-point-of-interest,USTR
fs20-microsoft-countryside-point-of-interest,UNTR
fs20-microsoft-countryside-point-of-interest-quarry,UNTR|UARR
fs20-microsoft-discovery-auckland,KLAN|SCOV
fs20-microsoft-discovery-barcelona,SCOV
fs20-microsoft-discovery-benmore,SCOV
fs20-microsoft-discovery-berlin,SCOV
fs20-microsoft-discovery-budapest,SCOV
fs20-microsoft-discovery-centraljava,SCOV
fs20-microsoft-discovery-cliffsofmoher,SCOV
fs20-microsoft-discovery-coimbra,OIMB|SCOV
fs20-microsoft-discovery-dach2a-frankfurtm,SCOV
fs20-microsoft-discovery-dach2b-zurich,SCOV
fs20-microsoft-discovery-dach2c-vienna,ENNA|SCOV
fs20-microsoft-discovery-darwin,SCOV
fs20-microsoft-discovery-dublin,SCOV
fs20-microsoft-discovery-edinburgh,SCOV
fs20-microsoft-discovery-florence,SCOV
fs20-microsoft-discovery-freiburg,SCOV
fs20-microsoft-discovery-gibraltar,LTAR|SCOV
fs20-microsoft-discovery-goldcoast,SCOV
fs20-microsoft-discovery-grandcanyon,SCOV
fs20-microsoft-discovery-helsinki,SINK|SCOV
fs20-microsoft-discovery-kiribati,SCOV
fs20-microsoft-discovery-lisbon,SBON|SCOV
fs20-microsoft-discovery-madrid,SCOV
fs20-microsoft-discovery-mauna,SCOV
fs20-microsoft-discovery-mecca,SCOV
fs20-microsoft-discovery-melbourne,SCOV
fs20-microsoft-discovery-montreal,SCOV
fs20-microsoft-discovery-monument,SCOV
fs20-microsoft-discovery-mountcook,SCOV
fs20-microsoft-discovery-no2-bergen,SCOV
fs20-microsoft-discovery-no2-faroer,FARO|SCOV
fs20-microsoft-discovery-no2-gothenburg,SCOV
fs20-microsoft-discovery-no2-reykjavik,SCOV
fs20-microsoft-discovery-pennine,SCOV
fs20-microsoft-discovery-perth,SCOV
fs20-microsoft-discovery-prague,SCOV
fs20-microsoft-discovery-queenstown,ENST|SCOV
fs20-microsoft-discovery-roma,SCOV
fs20-microsoft-discovery-sanjuan,SCOV
fs20-microsoft-discovery-sarajevo,SCOV
fs20-microsoft-discovery-seattle,SCOV
fs20-microsoft-discovery-singapore,SING|SCOV
fs20-microsoft-discovery-stlouis,SCOV
fs20-microsoft-discovery-stlucia,SCOV
fs20-microsoft-discovery-stmarteen,SCOV
fs20-microsoft-discovery-sydney,SCOV
fs20-microsoft-discovery-tahiti,SCOV
fs20-microsoft-discovery-toronto,SCOV
fs20-microsoft-discovery-uluru,SCOV
fs20-microsoft-discovery-vancouver,SCOV
fs20-microsoft-discovery-venezia,SCOV
fs20-microsoft-discovery-westmaui,SCOV
fs20-microsoft-germany-austria-switzerland-point-of-interest,USTR|SWIT
fs20-microsoft-landingchallenge-1id9-inkom-fs24,HALL
